url,name,country,language,topic_hint,status,resolved_url,notes
https://politepaul.com/fd/1NQdUkwmwc8T.xml,Irish Times - Business,Ireland,en,news,dead,https://politepaul.com/fd/1NQdUkwmwc8T.xml,"Client error '404 Not Found' for url 'https://politepaul.com/fd/1NQdUkwmwc8T.xml'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
https://feeds.feedburner.com/iebusiness,Irish Examiner - Business,Ireland,en,news,ok,https://feeds.feedburner.com/iebusiness,
https://www.independent.ie/business/rss,Irish Independent - Business,Ireland,en,news,redirected,https://www.independent.ie/business/rss/,
https://www.rte.ie/rss/business.xml,RTE News - Business,Ireland,en,news,redirected,https://www.rte.ie/feeds/rss/?index=/news/business/&limit=20,
https://www.rte.ie/rss/news.xml,RTE News - Top Stories,Ireland,en,news,redirected,https://www.rte.ie/feeds/rss/?index=/news/&limit=20,
https://www.thejournal.ie/feed/,The Journal,Ireland,en,news,ok,https://www.thejournal.ie/feed/,
https://thecurrency.news/feed/,The Currency,Ireland,en,news,ok,https://thecurrency.news/feed/,
https://www.siliconrepublic.com/feed/,Silicon Republic,Ireland,en,news,ok,https://www.siliconrepublic.com/feed/,
https://www.centralbank.ie/feeds/news-media-feed,Central Bank of Ireland – News,Ireland,en,government,ok,https://www.centralbank.ie/feeds/news-media-feed,
https://www.centralbank.ie/feeds/markets-updates-feed,Central Bank of Ireland – Markets Updates,Ireland,en,government,ok,https://www.centralbank.ie/feeds/markets-updates-feed,
https://www.fiscalcouncil.ie/feed/,Irish Fiscal Advisory Council,Ireland,en,government,ok,https://www.fiscalcouncil.ie/feed/,
https://www.theguardian.com/business/economics/rss,The Guardian - Economics,UK,en,news,ok,https://www.theguardian.com/business/economics/rss,
https://www.theguardian.com/uk/business/rss,The Guardian - Business,UK,en,news,ok,https://www.theguardian.com/uk/business/rss,
https://feeds.bbci.co.uk/news/business/rss.xml,BBC News - Business,UK,en,news,ok,https://feeds.bbci.co.uk/news/business/rss.xml,
https://feeds.bbci.co.uk/news/business/economy/rss.xml,BBC News - Economy,UK,en,news,ok,https://feeds.bbci.co.uk/news/business/economy/rss.xml,
https://www.cityam.com/feed/,City A.M.,UK,en,news,ok,https://www.cityam.com/feed/,
https://www.telegraph.co.uk/business/rss.xml,Telegraph - Business,UK,en,news,ok,https://www.telegraph.co.uk/business/rss.xml,
https://www.newstatesman.com/feed/,New Statesman,UK,en,news,dead,https://www.newstatesman.com/feed/,"Client error '403 Forbidden' for url 'https://www.newstatesman.com/feed/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403"
https://www.ft.com/rss/home,Financial Times (free),UK,en,news,redirected,https://www.ft.com/rss/home/international,
https://www.bankofengland.co.uk/rss/news,Bank of England - News,UK,en,government,ok,https://www.bankofengland.co.uk/rss/news,
https://www.bankofengland.co.uk/rss/publications,Bank of England - Research,UK,en,government,ok,https://www.bankofengland.co.uk/rss/publications,
https://obr.uk/feed/,Office for Budget Responsibility,UK,en,government,ok,https://obr.uk/feed/,
https://www.resolutionfoundation.org/feed/,Resolution Foundation,UK,en,think-tank,ok,https://www.resolutionfoundation.org/feed/,
https://www.niesr.ac.uk/feed,National Institute of Economic and Social Research,UK,en,think-tank,redirected,https://niesr.ac.uk/feed,
https://blogs.lse.ac.uk/politicsandpolicy/feed/,LSE British Politics & Policy Blog,UK,en,think-tank,ok,https://blogs.lse.ac.uk/politicsandpolicy/feed/,
https://politepaul.com/fd/Okb1cDoeXAKg.xml,LSE CEP,UK,en,think-tank,dead,https://politepaul.com/fd/Okb1cDoeXAKg.xml,"Client error '404 Not Found' for url 'https://politepaul.com/fd/Okb1cDoeXAKg.xml'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
https://fabians.org.uk/feed/,Fabian Society,UK,en,think-tank,ok,https://fabians.org.uk/feed/,
https://www.adamsmith.org/blog/rss.xml,Adam Smith Institute,UK,en,think-tank,redirected,https://www.adamsmith.org/blog?format=rss,
